GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.286156286795934,189.051595052083343,192.139663696289062,10.006646474202475,42.293131510416664
-0.287701868762573,189.051630655924470,192.139694213867188,10.009429931640625,42.292668660481773
-0.289381122837464,189.051661173502595,192.139694213867188,10.011452992757162,42.292238871256508
-0.289193897197644,189.051762898763030,192.139729817708343,10.010396321614584,42.292549133300781
-0.286705753455559,189.051859537760407,192.139760335286468,10.007299741109213,42.293235778808594
-0.286551728844643,189.051991780598968,192.139694213867188,10.003672917683920,42.293692270914711
-0.283430683116118,189.052093505859375,192.139694213867188,9.998636245727539,42.293692270914711
-0.283476610978444,189.052195231119782,192.139826456705720,9.993629773457846,42.293523152669273
-0.284322542448839,189.052261352539062,192.139963785807282,9.994189580281576,42.293523152669273
-0.284501348932584,189.052332560221345,192.140029907226562,9.995826721191406,42.293636322021484
-0.282813658316930,189.052332560221345,192.140096028645843,9.996503194173178,42.293739318847656
-0.280926190316677,189.052363077799470,192.140126546223968,9.998299916585287,42.293883005777992
-0.280005410313606,189.052296956380218,192.140131632486970,10.000302950541178,42.294144948323570
-0.277550963064035,189.052261352539062,192.139999389648438,10.001152992248535,42.294385274251304
-0.276230136553446,189.051966349283845,192.139597574869782,9.998089790344238,42.294328053792320
-0.277309375504653,189.051427205403655,192.138427734375000,9.994156519571940,42.293881734212242
-0.277655094861984,189.050832112630218,192.137125651041657,9.991056442260742,42.293336232503258
-0.277234360575676,189.050298055013030,192.136032104492188,9.996009826660156,42.293102264404297
-0.274047014613946,189.049830118815095,192.134862263997405,10.001003265380859,42.292949676513672
-0.273959293961525,189.049524943033845,192.133956909179688,10.000429789225260,42.292545318603516
-0.277471827963988,189.049631754557282,192.133860270182282,10.000286420186361,42.291796366373696
-0.279416998227437,189.049860636393220,192.133799235026032,9.999369621276855,42.291529337565102
-0.280396116276582,189.049992879231780,192.133697509765625,10.002333323160807,42.292006174723305
-0.280608937144279,189.050064086914062,192.133595784505218,10.007409731547037,42.292530059814453
-0.280288045605024,189.050059000651032,192.133463541666657,10.011006355285645,42.292621612548828
-0.278867222368717,189.050064086914062,192.133326212565095,10.012332916259766,42.292378743489586
